evaluation/Num Paths,evaluation/num paths total,exploration/Returns Max,exploration/path length Std,evaluation/Actions Std,trainer/Policy log std Max,evaluation/Rewards Mean,trainer/Log Pis Mean,time/saving (s),exploration/Num Paths,exploration/Rewards Mean,time/exploration sampling (s),evaluation/path length Mean,Epoch,evaluation/Actions Min,exploration/Returns Mean,exploration/Actions Min,evaluation/Average Returns,exploration/num paths total,trainer/Q2 Predictions Max,exploration/Returns Min,trainer/Q Targets Std,evaluation/Rewards Std,trainer/QF1 Loss,evaluation/num steps total,trainer/Policy log std Min,trainer/Policy log std Std,exploration/Actions Max,evaluation/path length Std,trainer/Q Targets Mean,exploration/Actions Mean,trainer/Policy mu Mean,trainer/Policy log std Mean,time/data storing (s),exploration/Rewards Std,trainer/Q1 Predictions Max,exploration/Average Returns,trainer/Alpha,exploration/num steps total,time/training (s),time/evaluation sampling (s),time/epoch (s),evaluation/Returns Mean,exploration/Actions Std,trainer/Q1 Predictions Min,exploration/Returns Std,trainer/Q1 Predictions Mean,trainer/Log Pis Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,time/total (s),trainer/QF2 Loss,evaluation/Rewards Max,trainer/Policy mu Min,exploration/path length Min,trainer/Alpha Loss,evaluation/Returns Max,replay_buffer/size,time/logging (s),evaluation/Rewards Min,exploration/Rewards Min,evaluation/Returns Std,trainer/Q1 Predictions Std,trainer/Q Targets Max,evaluation/Actions Mean,trainer/Policy Loss,trainer/Policy mu Std,trainer/Log Pis Std,trainer/Q2 Predictions Std,trainer/Q Targets Min,exploration/path length Mean,exploration/path length Max,evaluation/path length Max,trainer/Policy mu Max,evaluation/Actions Max,trainer/Log Pis Max,evaluation/path length Min,evaluation/Returns Min,exploration/Rewards Max
333,333,4.3947604242575045,0.0,0.0007140525,0.003213218,0.0027508790889694554,-1.3540484,0.07383579900488257,5,0.10964284550699034,0.035318855982040986,15.0,0,-0.00014089106,1.644642682604855,-0.97023094,0.041263186334541825,72,0.000895408,0.001843348990614942,0.97824395,0.004566875145103202,3.6135535,4995,-0.0018720641,0.0021035578,0.98806304,0.0,1.6311529,-0.024258196,0.00082174945,0.00084067986,0.10620015600579791,0.27783276053863076,0.0024894662,1.644642682604855,0.997004508972168,1075,1.6082028529781383,1.6974587709992193,3.543203705979977,0.041263186334541825,0.6171515,0.00036479533,1.6164670960023828,0.001262248,-1.835119,-0.0013301913,-0.0037969435,6.807082899962552,3.6222076,0.021757045168808962,-0.00011575571,15,-0.0,0.16325219106223277,2150,0.022187271009897813,-0.0,-0.0,0.054307532258968325,0.00038452673,6.796395,0.0008232383,-1.3527809,0.0007092205,0.3124153,0.0012712266,0.0,15.0,15,15,0.0017536352,0.0017363117,-0.53723884,15,7.978845608028654e-12,1.4201999303862702
333,666,11.436441829538174,0.0,0.018718164,-0.10288186,0.06385465462937126,-1.3637371,0.026118695008335635,5,0.22820177623480092,0.0346148329845164,15.0,1,-0.045635536,3.423026643522013,-0.98893625,0.9578198194405687,77,1.9989945,0.0326613604323787,0.75754416,0.09639344084733369,0.49140042,9990,-0.19433519,0.025180025,0.9607849,0.0,1.4619366,-0.028842462,-0.018715357,-0.14040932,0.09759729300276376,0.6318229060031336,1.9388899,3.423026643522013,0.7384172081947327,1150,1.6596815089869779,1.8085430380015168,3.650024507980561,0.9578198194405687,0.60098845,1.1158879,4.280987598244986,1.5009575,-2.1202245,1.4995455,1.1226357,10.63815140305087,0.4846799,0.48447590361595044,-0.04615632,15,-1.0099421739578247,3.6201955757924167,2300,0.023469139996450394,-0.0,-0.0,1.150564641016304,0.18450516,4.8824396,-0.01906896,-2.8640485,0.01857438,0.14772125,0.19324397,0.0,15.0,15,15,0.0010513997,0.00094883883,-1.0187297,15,7.978845608028654e-12,3.8428687151963894
333,999,6.671635916257488,0.0,0.024702275,-0.1119307,0.06856341784543485,-1.3628677,0.028445745003409684,5,0.1062922521186884,0.03237627597991377,15.0,2,-0.05130239,1.5943837817803264,-0.9678414,1.028451267681523,82,3.3162725,7.978845608028654e-12,0.9934262,0.1112591650508771,0.80744344,14985,-0.18257223,0.015240703,0.9951696,0.0,1.7325802,-0.044247217,-0.016158175,-0.13763897,0.1114062910201028,0.3293181330360363,3.290917,1.5943837817803264,0.547027587890625,1225,1.5374779569974635,1.6829184030066244,3.413670584006468,1.028451267681523,0.59149444,1.0714784,2.554961538865987,1.7529032,-1.8589745,1.755471,1.0804492,14.198839199030772,0.8057648,0.5436036456351031,-0.04925517,15,-2.018582820892334,4.118748511785363,2450,0.02104591199895367,-0.0,-0.0,1.3638351375770497,0.39625922,5.353934,-0.015949685,-3.1098886,0.02482018,0.15199983,0.3987009,0.0,15.0,15,15,0.015852954,0.01616242,-1.0122596,15,7.978845608028654e-12,1.6678463653317208
333,1332,9.175422363976885,0.0,0.026283527,-0.10267338,0.08423617666757623,-1.3825326,0.03083770300145261,5,0.2395350323281548,0.033586500998353586,15.0,3,-0.043279648,3.5930254849223218,-0.97617185,1.2635426500136433,87,3.276192,7.978845608028654e-12,0.7564375,0.10882114146843078,0.4185273,19980,-0.16431445,0.0133487405,0.9918674,0.0,1.7721,0.029294288,-0.0047441507,-0.120188236,0.11029111198149621,0.6234390479241873,3.2523756,3.5930254849223218,0.405271977186203,1300,1.5613758840190712,1.767702710989397,3.52709369600052,1.2635426500136433,0.586532,1.0361595,3.471163909097401,1.7444124,-2.079005,1.7453806,1.0248644,17.900783995020902,0.41293067,0.5367706473658491,-0.04190883,15,-3.044954776763916,4.067316595975827,2600,0.023299785010749474,-0.0,-0.0,1.2674242611651163,0.39898652,4.418499,-0.004861881,-3.1295555,0.026580308,0.16539681,0.40395102,0.0,15.0,15,15,0.057769973,0.062011145,-0.93028104,15,7.978845608028654e-12,3.768620817139634
333,1665,12.861495893254492,0.0,0.24503288,-0.09708515,0.23957615960034886,-1.3560305,0.031475892988964915,5,0.23932390460560324,0.03642109900829382,15.0,4,-0.38517457,3.5898585690840483,-0.9698315,3.593642394005233,92,4.711424,7.978845608028654e-12,1.0330714,0.4834334162629339,0.71956027,24975,-0.15266976,0.0108320005,0.9979079,0.0,1.8784703,0.040754713,0.040071838,-0.119449124,0.12554840499069542,0.5575133033961479,4.4956145,3.5898585690840483,0.30063775181770325,1375,1.6896304830152076,2.0473721559974365,3.9538788070203736,3.593642394005233,0.6009429,1.0190152,5.037228041458124,2.0289,-2.604629,2.1368656,1.0023258,22.098693899053615,0.7368236,6.204671948203703,-0.27459148,15,-4.02354621887207,29.21350143933364,2750,0.02343077101977542,-0.0,-0.0,5.56991390943369,0.6942757,6.872586,0.04387041,-3.409094,0.20283616,0.36747316,0.7189507,0.0,15.0,15,15,0.7740884,0.83501434,0.043941975,15,7.978845608028654e-12,3.399647649724612
333,1998,1.2415057480455622,0.0,0.48806912,-0.061558828,0.37238990231664393,-1.1547673,0.0356789409997873,5,0.028434860142051915,0.03584366699215025,15.0,5,-0.95242125,0.42652290213077865,-0.987816,5.585848534749658,97,4.365354,2.209427972525346e-07,1.0649519,1.1555664076973793,0.60135484,29970,-0.23735787,0.04338609,0.96570843,0.0,2.1389353,-0.18881014,-0.15016267,-0.11957287,0.12907460698625073,0.11323734674272304,4.0324464,0.42652290213077865,0.224351167678833,1450,1.6413536019972526,1.9486282630241476,3.82123053498799,5.585848534749658,0.6103423,0.80694646,0.5143165464226013,2.1339068,-2.5187013,2.273714,0.92455006,26.181413918006,0.598868,12.117939109303443,-0.9914764,15,-4.705970287322998,68.27058571154836,2900,0.030651454988401383,-0.0,-0.0,11.542564911285245,0.64487654,6.585884,-0.13410522,-3.3694685,0.38518175,0.5943384,0.6654606,0.0,15.0,15,15,0.9453595,0.95988107,0.6117828,15,7.978845608028654e-12,0.6493652974932351
333,2331,27.01973370512642,0.0,0.5664432,-0.042238306,0.29101010228103724,-1.1853484,0.0322206339915283,5,0.4112273359613065,0.040928425994934514,15.0,6,-0.9642268,6.168410039419597,-0.987599,4.36515153421556,102,4.163067,7.978845608028654e-12,1.1900741,1.0222042544193328,0.51593286,34965,-0.32487822,0.07021855,0.9685509,0.0,2.3001778,-0.14398298,-0.14010403,-0.14909276,0.1496950860018842,1.039113403796009,4.226998,6.168410039419597,0.16887550055980682,1525,1.9636036099982448,2.0249354419938754,4.2336987869639415,4.36515153421556,0.6479368,0.47755966,10.520832053043234,2.2039576,-4.086155,2.3041108,0.7031238,30.757674065011088,0.57066935,13.305806231304558,-1.0438802,15,-5.65670919418335,66.70716875661307,3050,0.0223155889834743,-0.0,-0.0,9.750459362795679,0.8689762,7.2633877,-0.13200489,-3.4167552,0.41359755,0.77397996,0.85568285,0.0,15.0,15,15,0.8282765,0.96779037,1.3128481,15,7.978845608028654e-12,4.983056507112222
333,2664,1.9672221598436113,0.0,0.6230696,-0.07063821,0.38479507474087454,-0.4786064,0.038165957026649266,5,0.030105727754735363,0.033597664994886145,15.0,7,-0.9510376,0.45158591632103046,-0.9897403,5.771926121113119,107,6.140259,0.008396599828848082,1.5158442,1.261369638520929,0.6388281,39960,-0.61287963,0.1509379,0.9550142,0.0,2.5239298,-0.2601672,-0.21584004,-0.23660286,0.15020377599284984,0.10577222958292838,8.116784,0.45158591632103046,0.1287962794303894,1600,2.7124759370053653,2.0107825440063607,4.970071931020357,5.771926121113119,0.63275987,0.35153955,0.7589695540033065,2.5884485,-5.8279343,2.6618474,0.16943602,36.06287631698069,0.74102473,13.589163437257064,-1.6881337,15,-5.073298454284668,70.68233807443131,3200,0.0248460519942455,-0.0,-0.0,10.53339940227319,1.4132326,8.997736,-0.2616766,-3.1608293,0.7304874,1.225156,1.2747331,0.0,15.0,15,15,1.658412,0.9902338,3.1086712,15,7.978845608028654e-12,0.5901824859139925
333,2997,20.949738553551832,0.0,0.5869993,-0.037262052,0.6698247718965754,-0.45365292,0.038525520998518914,5,0.5725963332510001,0.03735159899224527,15.0,8,-0.98366994,8.588944998765003,-0.9932959,10.047371578448631,112,9.024414,0.7999740908084821,1.7457148,1.4396618355867694,0.9750304,44955,-0.53321576,0.09884317,0.9758241,0.0,2.9422936,-0.06804355,-0.17982109,-0.20350057,0.14011126797413453,1.1133884926899835,7.8819885,8.588944998765003,0.10223495960235596,1675,2.5874411840050016,2.0600179310131352,4.885667879978428,10.047371578448631,0.6612723,0.3068228,7.298105999944369,2.766255,-3.6135817,2.931915,0.45821887,41.35573364797165,0.9939552,13.620085566463759,-1.8909127,15,-5.590064525604248,74.20199447756487,3350,0.022220376995392144,-0.0,-0.0,12.74454035366256,1.4916826,9.86381,-0.37492752,-3.3668854,0.73146915,1.214524,1.5699482,0.0,15.0,15,15,1.2113067,0.857849,3.0945778,15,0.004162527817671938,4.7784877160139985
333,3330,47.19422993324133,0.0,0.6430048,0.024543239,0.6436968426470752,0.30597895,0.03470919199753553,5,1.1879419612971365,0.04441483301343396,15.0,9,-0.9924336,17.81912941945705,-0.9925156,9.655452639706128,117,6.1809816,0.6574670927486891,1.6474813,1.5255482365938,0.8107576,49950,-0.6553471,0.15830413,0.9872147,0.0,2.6913917,-0.2418544,-0.069403164,-0.3594813,0.1587991940032225,2.1648630578653973,5.97924,17.81912941945705,0.08393129706382751,1750,2.5530040290032048,2.0472154220042285,4.856480667018332,9.655452639706128,0.6706219,-0.20170568,15.614627292029523,2.5129247,-5.09243,2.491736,-0.014100708,46.646629347931594,0.8841081,12.419629143668493,-1.7859628,15,-4.194454193115234,71.61610051463394,3500,0.01833799699670635,-0.0,4.372622249127098e-19,12.922829930113313,1.3854275,10.242897,-0.29422018,-2.4949536,1.1530907,1.7592245,1.4025486,0.0,15.0,15,15,2.0240803,0.9661585,4.0520015,15,0.004838439982245928,7.595149336912389
