trainer/Log Pis Mean,evaluation/Rewards Std,trainer/Q2 Predictions Std,exploration/Returns Std,trainer/Policy mu Min,trainer/Q Targets Mean,exploration/num steps total,trainer/Q1 Predictions Max,exploration/path length Std,time/data storing (s),exploration/path length Mean,trainer/Q2 Predictions Mean,trainer/Policy mu Std,trainer/Policy log std Min,evaluation/Rewards Mean,evaluation/path length Mean,trainer/Q Targets Min,exploration/Actions Std,evaluation/Num Paths,time/saving (s),trainer/Q Targets Max,evaluation/path length Min,evaluation/Actions Min,trainer/Policy mu Max,trainer/QF2 Loss,trainer/Policy log std Mean,trainer/Policy log std Std,exploration/num paths total,time/total (s),exploration/path length Max,trainer/Policy log std Max,time/evaluation sampling (s),exploration/Actions Mean,exploration/Returns Min,exploration/Rewards Min,exploration/Actions Max,exploration/Rewards Mean,evaluation/num paths total,evaluation/Rewards Max,trainer/QF1 Loss,exploration/Returns Max,time/epoch (s),exploration/Average Returns,evaluation/Actions Std,trainer/Alpha,exploration/path length Min,exploration/Num Paths,evaluation/Rewards Min,exploration/Rewards Max,time/training (s),time/exploration sampling (s),exploration/Rewards Std,evaluation/path length Max,trainer/Q Targets Std,trainer/Log Pis Min,replay_buffer/size,evaluation/Actions Max,exploration/Returns Mean,trainer/Log Pis Max,Epoch,trainer/Q1 Predictions Min,exploration/Actions Min,time/logging (s),evaluation/Returns Min,evaluation/Returns Std,trainer/Q2 Predictions Min,trainer/Q2 Predictions Max,evaluation/path length Std,evaluation/num steps total,trainer/Q1 Predictions Std,trainer/Policy Loss,evaluation/Average Returns,trainer/Log Pis Std,evaluation/Actions Mean,trainer/Q1 Predictions Mean,trainer/Alpha Loss,evaluation/Returns Max,trainer/Policy mu Mean,evaluation/Returns Mean
-1.3540101,0.00455304730206688,0.0012294491,1.7426271048171,-0.00010668568,1.6395509,1075,0.002253749,0.0,0.8157479070068803,15.0,-0.0012310452,0.0007094216,-0.0018825554,0.002816775450570872,15.0,0.0,0.6171434,333,0.06202486201073043,4.4745936,15,-0.00014089106,0.0018118639,3.4164586,0.00083897496,0.0021113364,72,7.044963937980356,15,0.0032534779,1.6045431620150339,-0.02423933,0.16032345665239034,-0.0,0.98806775,0.15427954913114034,333,0.022058532261115166,3.40752,4.456687029795196,4.040961543010781,2.3141932369671054,0.00071306044,0.997004508972168,15,5,-0.0,2.140678992598652,1.5038174059882294,0.03401177498744801,0.36239486516234665,15,0.8507119,-1.8345538,2150,0.0017348698,2.3141932369671054,-0.5372956,0,0.00050344993,-0.9702548,0.020816431002458557,7.978845608028654e-12,0.05390692830449017,-0.0036103777,0.0009808855,0.0,4995,0.00037610615,-1.3527938,0.04225163175856308,0.3123575,0.00082200865,0.0012935684,-0.0,0.16582782498912452,0.0008195977,0.04225163175856308
-1.3633971,0.07530600979777397,0.22227298,0.8664612808346943,-0.018074065,1.6494664,1150,2.413296,0.0,0.8967829339962918,15.0,1.6794187,0.016460996,-0.17625879,0.05181363363375501,15.0,0.0,0.60094434,333,0.02921405600500293,5.0860996,15,-0.01851803,0.023897262,0.7377423,-0.14198337,0.020658405,77,11.350476774998242,15,-0.10359235,1.6967108540120535,-0.013736078,7.978845608028654e-12,-0.0,0.9646037,0.048363944304572096,666,0.34512244200941716,0.74197286,2.0465528826880615,4.174010660004569,0.7254591645685816,0.016158937,0.738412618637085,15,5,-0.0,0.9469333443735006,1.4992224299930967,0.031075648992555216,0.14472606041090672,15,0.91471976,-2.1037335,2300,0.024532478,0.7254591645685816,-1.1083729,1,1.2377858,-0.98844653,0.02100473700556904,7.978845608028654e-12,0.8798341912284064,1.2104203,2.4459703,0.0,9990,0.21401754,-3.047322,0.7772045045063251,0.14768168,0.0028498445,1.6767876,-1.0098614692687988,2.57020367210512,0.0028467919,0.7772045045063251
-1.361371,0.060179948350226116,0.403086,0.46162540587242074,-0.014290265,1.5580053,1225,2.7574112,0.0,0.9419045389804523,15.0,1.5091667,0.013748982,-0.11787521,0.03917816726975496,15.0,0.0,0.6046977,333,0.0300550939864479,4.5730724,15,-0.013751698,0.01725358,0.43600118,-0.10550867,0.0036049786,82,15.734433914971305,15,-0.09775316,1.693077034986345,-0.033593412,7.978845608028654e-12,-0.0,0.99636626,0.021415042081718388,999,0.2865290297309031,0.43099508,1.1969122092041522,4.229693611967377,0.3212256312257758,0.013856179,0.5469911098480225,15,5,-0.0,0.5965380602197891,1.5123563000233844,0.03260201300145127,0.08300039025848306,15,0.690512,-1.7986927,2450,0.017170608,0.3212256312257758,-0.98934233,2,0.79898137,-0.97007775,0.019698630989296362,7.978845608028654e-12,0.7101780511918897,0.80109006,2.8544362,0.0,14985,0.3775053,-2.8262396,0.5876725090463245,0.1711314,0.002125406,1.4874249,-2.0179004669189453,2.1465020906776973,0.0023541376,0.5876725090463245
-1.3834455,0.25051445481521106,0.6099039,3.3021801092893397,-0.0950447,1.8740455,1300,3.6373494,0.0,1.0009186599927489,15.0,1.9415781,0.082759865,-0.19585407,0.102166235873717,15.0,0.0,0.58075005,333,0.026308370986953378,4.9485226,15,-0.10656857,0.1754031,0.4680112,-0.14299782,0.011426761,87,20.17031940596644,15,-0.11711475,1.6248659230186604,0.049921215,1.299039192785742,-0.0,0.98928934,0.21928636630013282,1332,2.210868604932653,0.5223132,9.8530762038448,4.237907528993674,3.2892954945019914,0.07718611,0.40523970127105713,15,5,-0.0,2.329789139680133,1.5285789769841358,0.03537157500977628,0.425354555484254,15,0.8874325,-2.4788208,2600,0.19404632,3.2892954945019914,-0.7345973,3,1.0457447,-0.9746251,0.02186402300139889,7.978845608028654e-12,3.213872061119043,0.8398489,3.8296888,0.0,19980,0.54150766,-3.2567885,1.5324935381057552,0.22488734,0.020345647,1.9393032,-3.0460641384124756,16.569068359289634,0.022112442,1.5324935381057552
-1.3141857,0.4325192383812655,0.6366623,1.12957375099401,-0.2557632,1.9766388,1375,4.4157925,0.0,1.061853933002567,15.0,1.8297544,0.12654054,-0.1731357,0.2306060758078625,15.0,0.0,0.60031563,333,0.029442424012813717,5.1733093,15,-0.27789333,0.4438672,0.52855873,-0.12582952,0.016630484,92,24.91996209300123,15,-0.089481466,1.8314927849860396,-0.013450674,0.18745810998108536,-0.0,0.9972095,0.09902325592556455,1665,4.65694946972722,0.56538975,3.5817363866791716,4.530556562996935,1.4853488388834681,0.14155965,0.3006373941898346,15,5,-0.0,1.3132262057336712,1.5520414519996848,0.03378178700222634,0.2778819023733858,15,0.9518754,-2.8491352,2750,0.45928296,1.4853488388834681,-0.38417196,4,0.8404363,-0.9684712,0.021944181993603706,7.978845608028654e-12,5.27355256114404,0.6001665,4.2565813,0.0,24975,0.60578126,-3.1343095,3.4590911371179374,0.30367148,-0.0075513334,1.944046,-3.973344087600708,29.450164194150027,-0.016257841,3.4590911371179374
-1.286723,0.5533623777726329,0.8843324,1.3250150828126546,-0.34780383,2.0672493,1450,4.876911,0.0,1.1258292389975395,15.0,2.1980555,0.1727416,-0.15717286,0.24078061617933735,15.0,0.0,0.5708633,333,0.032404689001850784,6.143374,15,-0.4875354,0.4014813,0.3797194,-0.10355671,0.015261584,97,29.753994129045168,15,-0.084763385,1.8148704810009804,-0.06277257,7.978845608028654e-12,-0.0,0.98066854,0.053458152275586944,1998,5.803725355750745,0.41216654,3.4412045853470246,4.583512955985498,0.801872284133804,0.17480378,0.2240425944328308,15,5,-0.0,1.194746653522857,1.556513879011618,0.034646009997231886,0.17012136273998346,15,0.98197854,-2.0101247,2900,0.56691706,0.801872284133804,-0.06353235,5,0.77273107,-0.9657836,0.019248657976277173,7.978845608028654e-12,6.588275119248485,0.74680513,4.5643396,0.0,29970,0.8515941,-3.4224455,3.61170924269006,0.3299686,-0.02432251,2.171423,-4.906999111175537,35.79818865493884,-0.020119432,3.61170924269006
-0.7427605,1.1614650614671578,1.1166635,2.559792153464742,-1.1533253,2.2586012,1525,5.3249025,0.0,1.1813561739982106,15.0,2.1194768,0.57169765,-0.50810456,0.3634252583305319,15.0,0.0,0.6210465,333,0.030360406992258504,8.807522,15,-0.9250592,1.2562637,0.7145992,-0.3027378,0.07554852,102,35.023109016008675,15,-0.16365823,1.868193178990623,-0.0218976,0.042947716160012694,-0.0,0.9357905,0.1873470326793662,2331,13.159194584958243,0.6966636,6.316433275190509,4.951940728002228,2.8102054901904925,0.60662824,0.1694730520248413,15,5,-0.0,2.492873924803741,1.812629833992105,0.03706730200792663,0.42532371834932503,15,1.2271497,-6.2517757,3050,0.97792137,2.8102054901904925,1.1508713,6,0.31197217,-0.98908746,0.022333832021104172,7.978845608028654e-12,10.764903402065856,0.1225525,5.3634753,0.0,34965,1.10182,-3.0167322,5.451378874957978,0.94122165,-0.054918773,2.1881618,-4.86112117767334,65.912296043627,-0.05260756,5.451378874957978
-0.26658833,1.262812186992945,1.3704177,0.13379755503899965,-1.8167605,2.5032291,1600,8.717583,0.0,1.2551041140104644,15.0,2.410128,0.83573234,-0.87570214,0.4517326137181478,15.0,0.0,0.76758933,333,0.03429463898646645,9.243629,15,-0.9656349,1.544492,0.48449084,-0.44373474,0.115863785,107,40.9983011840377,15,-0.17258853,1.9111847220046911,-0.031236941,2.187953093484493e-05,-0.0,0.9896183,0.010740396342324798,2664,13.206719564668951,0.5078358,0.334127025215491,5.657465088006575,0.16110594513487198,0.75278986,0.1309002786874771,15,5,-0.0,0.3289402104370878,2.396832711994648,0.03602776600746438,0.04607256250263198,15,1.5982176,-8.91848,3200,0.96057665,0.16110594513487198,3.5950994,7,0.26735163,-0.99728566,0.02402113500284031,7.978845608028654e-12,10.863012462666791,0.17266688,7.8971524,0.0,39960,1.4443916,-2.8468716,6.775989205772217,1.3961059,0.05897174,2.3967571,-4.603665828704834,75.81433117588925,0.04220682,6.775989205772217
0.30875316,1.5964056191503764,2.3518827,0.12354749100396979,-2.7771206,3.0515933,1675,17.427324,0.0,1.3363386399869341,15.0,3.2074008,0.98537076,-0.74230975,0.4739278719918495,15.0,0.0,0.6914754,333,0.031275697983801365,11.751153,15,-0.9973546,1.7505404,0.71718705,-0.41137013,0.0988008,112,46.95428198299487,15,-0.1937177,1.9605870409868658,-0.37002787,0.021561053696381813,-0.0,0.99499154,0.012587181114201868,2997,13.788173014279847,1.1099563,0.38130658891410457,5.599474979942897,0.18880771671302798,0.7618682,0.10519733279943466,15,5,2.5896769640424722e-219,0.25215330191791246,2.214427318976959,0.03781591201550327,0.04238987555112325,15,2.2179217,-6.86594,3350,0.98700595,0.18880771671302798,6.7897444,8,0.1417928,-0.9977797,0.019030369992833585,0.006415484973001628,16.58424989599148,-0.018085718,16.06274,0.0,44955,2.511377,-3.0689688,7.108918079877742,2.0006382,-0.34448797,3.2534432,-3.805492877960205,97.83347088045763,-0.4256361,7.108918079877742
0.55081105,1.7939327758206947,2.0752988,2.7320671047398832,-2.0541296,3.3534405,1750,11.153238,0.0,1.401290979993064,15.0,3.3726707,1.1507883,-0.9141914,0.6713980538161516,15.0,0.0,0.82156867,333,0.03367824500310235,13.77739,15,-0.9941642,2.245958,1.3931026,-0.44661894,0.118105106,117,53.06742397195194,15,-0.12854093,1.9570483019924723,-0.12314114,7.978845608028654e-12,-0.0,0.99750584,0.12353562700057727,3330,12.620403682772904,1.3938023,7.1911365867544275,5.680122960009612,1.8530344050086591,0.80058634,0.0882733017206192,15,5,-0.0,2.6272068521493397,2.2286114870221354,0.036310458002844825,0.4289603295162294,15,2.5250924,-5.1842756,3500,0.9962154,1.8530344050086591,5.112219,9,0.22873548,-0.998199,0.023183487995993346,7.978845608028654e-12,15.330338821717582,0.2535065,11.525082,0.0,49950,2.0024908,-3.0435977,10.070970807242274,1.8149058,-0.1695198,3.2541075,-3.5155417919158936,77.86823933413558,-0.28696072,10.070970807242274
